transaction_id,account_id,customer_id,transaction_type,transaction_amount,transaction_channel,transaction_status,transaction_date
1.0,205,247,Deposit,2345874.74,,Failed,2025-08-31 06:42:38
2.0,586,334,,3214875.69,,Successful,2025-07-09 22:42:08
3.0,126,244,Deposit,2191351.07,POS,Failed,2025-09-26 04:29:16
,234,119,Withdrawal,4931673.79,ATM,,2024-09-09 19:26:32
5.0,602,247,Transfer,3161069.27,,Failed,2024-12-30 17:22:55
6.0,795,491,Transfer,4934768.37,ATM,,2025-11-15 07:47:19
7.0,614,180,,4207655.38,,,2025-01-10 02:52:48
8.0,108,267,Transfer,4692964.24,ATM,Failed,2026-02-24 08:54:11
9.0,218,3,Deposit,449393.28,ATM,Successful,2026-02-22 18:51:59
10.0,443,421,,2266920.44,MOBILE BANKING,Failed,2025-05-02 05:34:35
11.0,174,103,,2629981.21,ATM,Failed,2024-06-26 07:13:26
12.0,555,215,Deposit,4385574.3,MOBILE BANKING,Failed,2025-03-15 10:32:28
13.0,573,577,Withdrawal,1405604.56,ATM,Failed,2026-02-12 18:52:59
14.0,375,545,Withdrawal,670531.36,ATM,Failed,2025-07-11 08:55:32
15.0,24,370,Deposit,1998170.28,ATM,Successful,2025-03-18 04:29:18
16.0,458,370,Transfer,1277009.43,ATM,,2024-10-09 08:33:17
17.0,384,60,Deposit,1870759.1,MOBILE BANKING,,2024-08-07 12:26:18
18.0,509,559,Transfer,4000296.54,,Successful,2025-06-28 05:16:50
19.0,179,191,Withdrawal,4052527.28,,Successful,2026-04-01 20:06:46
20.0,789,176,,4345672.7,MOBILE BANKING,Successful,2024-12-13 01:30:06
21.0,751,114,Deposit,1354127.28,MOBILE BANKING,Successful,2025-04-23 02:12:29
22.0,632,586,Deposit,3352787.72,MOBILE BANKING,Successful,2025-06-29 19:02:26
23.0,373,506,Transfer,2740156.68,ATM,Successful,2024-06-10 05:54:26
24.0,110,83,,3115877.54,,Successful,2024-11-12 00:52:27
25.0,72,182,,97299.62,,Successful,2025-12-29 08:42:38
26.0,706,465,,1178051.54,ATM,Successful,2024-05-19 19:41:19
27.0,650,347,,110695.2,MOBILE BANKING,Failed,2025-08-03 07:07:26
28.0,74,24,,3592020.04,ATM,Successful,2024-07-12 16:20:17
29.0,688,286,Withdrawal,4598934.44,ATM,Successful,2025-05-21 19:07:15
30.0,451,288,,4631015.34,ATM,Failed,2025-08-21 19:52:34
31.0,94,566,Transfer,3053937.11,ATM,,2024-07-18 18:18:42
32.0,476,386,Transfer,4144197.41,ATM,Failed,2024-07-08 08:27:33
33.0,523,254,Deposit,3469058.71,POS,Successful,2025-06-23 00:09:48
34.0,223,451,Withdrawal,2296717.92,MOBILE BANKING,,2026-02-02 23:14:35
35.0,772,366,Transfer,1032866.26,MOBILE BANKING,,2026-04-21 13:14:21
36.0,674,416,Deposit,2613738.54,ATM,,2025-03-17 08:39:36
37.0,484,519,Deposit,3930655.25,ATM,Successful,2025-05-17 15:29:22
38.0,97,271,Withdrawal,1729965.97,ATM,,2026-04-29 15:20:22
39.0,608,593,Deposit,1564896.01,ATM,Failed,2026-05-03 09:51:10
40.0,142,566,,2999581.4,ATM,Successful,2025-08-23 04:15:03
41.0,98,446,Transfer,2172126.36,POS,Successful,2025-11-15 23:52:27
42.0,160,422,Deposit,2537994.88,ATM,Failed,2025-02-23 17:47:14
43.0,445,398,Withdrawal,727541.79,ATM,Successful,2026-01-20 22:51:37
44.0,601,551,Deposit,2187149.09,,,2024-08-29 15:45:05
45.0,18,205,Transfer,172309.79,,Successful,2024-07-27 21:45:38
46.0,223,314,,1125873.1,,Successful,2025-09-19 17:05:10
47.0,381,107,Transfer,4030695.5,ATM,Failed,2024-12-11 09:50:32
48.0,564,104,Deposit,4191373.25,ATM,Successful,2025-03-08 06:18:11
49.0,87,262,Withdrawal,4164262.0,MOBILE BANKING,,2025-06-07 11:37:29
50.0,1,308,Transfer,1100344.74,ATM,,2025-07-26 17:05:57
51.0,229,9,Deposit,1633012.69,ATM,,2025-06-22 03:12:53
52.0,800,24,Deposit,1029243.67,ATM,Failed,2025-04-26 11:23:13
53.0,422,547,Transfer,1103345.83,POS,Successful,2026-04-14 20:20:08
54.0,525,452,Transfer,2916076.81,,,2025-04-30 11:29:19
55.0,417,418,Deposit,3297793.16,,Successful,2025-10-01 18:17:57
56.0,589,251,,2533234.63,ATM,Successful,2025-10-11 00:51:29
57.0,442,10,Deposit,1279568.52,POS,Successful,2024-10-15 16:31:51
58.0,482,135,Withdrawal,2158842.17,ATM,Successful,2025-09-27 19:34:06
59.0,673,3,Withdrawal,89934.08,POS,Failed,2026-02-08 22:53:56
60.0,238,345,Deposit,623413.47,ATM,Failed,2025-01-04 16:11:31
61.0,303,314,,3435924.97,ATM,Successful,2025-11-08 01:57:34
62.0,658,70,Withdrawal,106285.91,MOBILE BANKING,Successful,2025-05-22 15:42:14
63.0,652,514,Transfer,4473589.19,ATM,,2025-07-05 12:51:47
64.0,455,393,Deposit,2165310.72,ATM,,2024-06-15 23:53:58
65.0,330,492,Transfer,1953789.75,,Failed,2025-07-20 21:35:32
66.0,601,44,Transfer,1297979.32,ATM,Successful,2024-10-14 22:49:11
67.0,782,283,Withdrawal,746288.09,,Successful,2024-10-30 22:48:13
68.0,280,244,Deposit,2795473.18,POS,Successful,2025-09-07 15:56:09
69.0,456,311,,2188001.71,ATM,Successful,2025-02-18 08:09:06
70.0,112,415,Withdrawal,2520745.67,ATM,,2025-12-10 23:45:22
71.0,485,91,Deposit,116017.01,,Successful,2024-09-02 01:47:39
72.0,93,567,Deposit,3013932.36,ATM,Successful,2026-05-03 02:23:31
73.0,427,452,Withdrawal,2921589.38,MOBILE BANKING,Successful,2025-09-26 07:21:01
74.0,100,557,Transfer,1512670.71,ATM,Successful,2024-05-11 15:47:20
75.0,66,586,Deposit,2929790.26,MOBILE BANKING,,2024-11-13 05:26:14
76.0,589,448,Deposit,1393821.34,,Failed,2025-11-13 23:14:32
77.0,282,522,Deposit,452497.48,,,2025-07-26 17:43:23
78.0,378,118,Withdrawal,2534082.45,,Failed,2025-12-29 02:25:58
79.0,383,254,Transfer,4567070.25,,Failed,2025-09-07 00:31:56
80.0,613,247,Transfer,4715226.22,MOBILE BANKING,Successful,2024-10-18 08:10:37
81.0,561,132,,56443.76,MOBILE BANKING,Successful,2025-05-18 12:30:26
82.0,707,199,Transfer,2302019.48,ATM,Failed,2025-04-19 10:12:28
83.0,107,189,Transfer,3202874.27,,,2024-08-31 01:20:07
84.0,196,402,Transfer,3419483.45,ATM,Failed,2025-12-20 15:06:10
85.0,576,293,Transfer,3285148.9,POS,,2026-02-28 05:03:02
86.0,145,525,Withdrawal,4962667.15,POS,Successful,2026-03-21 03:00:14
87.0,247,78,,4691657.24,MOBILE BANKING,Failed,2024-08-31 18:20:38
88.0,471,487,Withdrawal,1548671.55,MOBILE BANKING,Successful,2024-07-19 23:59:57
89.0,686,182,Deposit,424711.91,,Successful,2024-09-06 10:21:17
90.0,105,538,Deposit,700480.44,,Successful,2026-04-25 19:48:33
91.0,337,296,Withdrawal,392341.79,ATM,,2025-07-23 21:59:27
92.0,446,226,Transfer,2321024.73,POS,,2025-12-29 00:57:14
93.0,97,234,Transfer,1250010.15,ATM,Successful,2025-02-21 11:19:15
94.0,430,596,,433127.53,POS,Failed,2025-06-25 14:20:37
95.0,60,382,,4947034.48,ATM,Successful,2025-01-14 05:32:01
96.0,601,497,,715282.17,POS,Successful,2025-06-08 23:47:55
97.0,474,273,Withdrawal,1983811.84,ATM,Successful,2024-08-16 11:50:13
98.0,587,344,,2157240.03,ATM,Failed,2025-03-24 01:24:37
99.0,334,49,,1842943.46,ATM,Successful,2024-12-08 16:28:44
100.0,724,267,Withdrawal,4685350.24,,,2025-06-18 11:42:28
101.0,479,581,Withdrawal,4598250.56,,Successful,2025-06-01 23:05:54
102.0,255,131,Deposit,661423.28,POS,Failed,2026-02-09 09:35:41
103.0,342,457,Transfer,3961430.48,ATM,Successful,2025-12-18 03:23:43
104.0,78,69,Transfer,135027.65,POS,,2025-08-13 04:37:04
105.0,89,424,Deposit,4245832.7,ATM,,2026-01-27 04:04:38
106.0,313,504,Transfer,1963298.24,,Successful,2025-08-25 13:32:53
107.0,622,442,Deposit,1092002.43,ATM,Successful,2024-09-24 00:45:17
108.0,57,434,Transfer,3482523.74,MOBILE BANKING,Successful,2026-01-09 06:16:29
