account_id,customer_id,account_type,branch,opening_balance,account_status,open_date
1,158,savings, Kisumu,484146.63,,2020-06-22
2,352,,Nairobi CBD,166575.93,ACTIVE,2025-08-11
3,376,Savings,MOMBASA,510156.57,Active,2024-07-11
4,302,CURRENT,,887584.3,,2021-08-26
5,161,,MOMBASA,815243.52,Dormant,2025-07-17
6,518,savings, Kisumu,178321.97,Active,2023-04-12
7,362,,Nairobi CBD,690197.85,Active,2022-04-22
8,3,CURRENT,,-1067.36,ACTIVE,2023-03-07
9,408,Savings,,10518.27,Active,2025-04-08
10,202,savings, Kisumu,767811.11,ACTIVE,2021-04-16
11,545,,Westlands,572340.06,,2025-05-13
12,125,savings,Westlands,516015.96,Active,2025-09-18
13,30,Savings,Nairobi CBD,166388.47,,2026-01-28
14,479,, Kisumu,805633.07,Active,2023-12-25
15,13,,MOMBASA,139646.78,Dormant,2024-03-02
16,363,CURRENT,Westlands,28054.85,Active,2021-06-02
17,65,CURRENT,Westlands,447087.6,,2019-06-01
18,21,Savings,Westlands,889993.4,Active,2026-01-26
19,451,Savings,,234484.03,Dormant,2024-10-18
20,46,savings,,853989.11,ACTIVE,2022-03-16
21,7,Fixed Deposit,MOMBASA,415468.31,ACTIVE,2023-12-02
22,508,Savings,Westlands,675668.12,Dormant,2026-02-01
23,424,CURRENT, Kisumu,874684.31,,2024-11-29
24,23,savings,Nairobi CBD,169334.93,ACTIVE,2020-11-18
25,389,savings,Nairobi CBD,971405.18,ACTIVE,2019-08-03
26,406,,MOMBASA,110460.78,,2019-05-20
27,344,Fixed Deposit,Nairobi CBD,961034.75,,2024-01-02
28,360,,Westlands,384300.41,,2025-03-21
29,291,CURRENT,Westlands,432754.32,ACTIVE,2019-07-12
30,26,CURRENT,Westlands,238008.71,Dormant,2020-07-18
31,95,savings,MOMBASA,542590.56,Dormant,2026-04-12
32,454,Fixed Deposit,Westlands,155018.11,ACTIVE,2019-12-14
33,222,Fixed Deposit, Kisumu,627490.46,Dormant,2023-09-14
34,305,Fixed Deposit,,200467.72,,2020-04-15
35,135,CURRENT,,899115.44,ACTIVE,2026-04-28
36,548,savings, Kisumu,606244.64,Dormant,2022-09-17
37,129,Savings,,86926.83,ACTIVE,2020-10-27
38,395,Savings,,140795.17,Active,2025-11-16
39,400,Savings,Westlands,775018.56,Dormant,2024-06-08
40,329,savings,Nairobi CBD,63421.21,ACTIVE,2024-12-24
41,513,CURRENT,Westlands,61240.55,ACTIVE,2020-04-10
42,91,savings,MOMBASA,121763.24,,2024-04-29
43,290,CURRENT, Kisumu,843585.07,,2022-03-29
44,136,CURRENT,Westlands,24721.94,ACTIVE,2025-11-12
45,423,Savings, Kisumu,244663.1,,2026-03-27
46,361,Savings,Westlands,287933.86,ACTIVE,2024-08-19
47,225,Savings, Kisumu,35198.53,Dormant,2025-03-14
48,442,savings,MOMBASA,151970.11,Active,2025-12-16
49,319,savings,,838662.7,,2021-12-02
50,534,CURRENT, Kisumu,668484.38,ACTIVE,2023-04-23
51,1,Savings,MOMBASA,900576.14,Active,2020-11-16
52,251,Savings,Nairobi CBD,790394.78,Dormant,2022-02-04
53,354,Savings, Kisumu,693150.45,,2025-11-23
54,227,CURRENT,,85383.25,,2021-05-04
55,454,CURRENT,,737303.77,,2020-11-13
56,521,Savings,Westlands,425492.15,Dormant,2021-10-26
57,502,savings,Nairobi CBD,952060.56,ACTIVE,2024-01-18
58,179,,Westlands,969261.42,Dormant,2023-12-21
59,267,savings,Nairobi CBD,163891.31,ACTIVE,2021-04-07
60,422,Savings,Westlands,634687.92,Dormant,2023-06-17
61,140,Fixed Deposit, Kisumu,234062.0,Dormant,2025-11-16
62,7,, Kisumu,128767.64,ACTIVE,2024-04-05
63,307,savings,Westlands,585491.49,Dormant,2024-08-25
64,342,Savings,,421758.41,Dormant,2021-04-20
65,159,, Kisumu,838683.38,,2022-06-19
66,212,Savings,MOMBASA,7433.16,,2024-01-10
67,212,Savings,Nairobi CBD,895291.07,ACTIVE,2023-08-12
68,202,Savings,MOMBASA,445258.22,Active,2022-12-28
69,166,CURRENT, Kisumu,466002.74,ACTIVE,2023-06-10
70,297,savings,,67177.43,Active,2025-12-11
71,480,Fixed Deposit,Nairobi CBD,746027.23,ACTIVE,2025-02-11
72,271,Savings, Kisumu,956516.57,,2024-03-26
73,195,,MOMBASA,3343.64,Active,2025-08-06
74,293,,MOMBASA,651338.3,Active,2022-12-24
75,142,Savings,Nairobi CBD,773310.74,Dormant,2023-03-06
76,304,CURRENT,Westlands,961832.64,Dormant,2023-08-29
77,105,CURRENT,,323306.83,Dormant,2021-01-13
78,365,CURRENT,Westlands,365368.36,ACTIVE,2022-09-25
79,260,savings,Nairobi CBD,36459.25,,2026-01-02
80,52,savings, Kisumu,420094.91,Dormant,2022-09-29
81,307,,,624626.63,Dormant,2020-01-07
82,233,savings,Westlands,440404.32,,2020-08-30
83,92,Savings, Kisumu,476798.41,Dormant,2022-10-26
84,382,Savings,Nairobi CBD,840027.22,,2025-02-24
85,147,CURRENT,Nairobi CBD,659933.21,,2025-06-22
86,347,Savings, Kisumu,3841.91,Dormant,2023-06-06
87,169,Fixed Deposit,MOMBASA,-785.49,ACTIVE,2021-07-13
88,201,Fixed Deposit,Nairobi CBD,540435.25,,2024-07-20
89,439,,Westlands,974240.99,Active,2019-05-16
90,62,CURRENT,,656728.29,,2024-09-18
91,378,Fixed Deposit,Westlands,295808.43,ACTIVE,2022-09-09
92,544,Savings,Westlands,218595.71,,2025-05-12
93,88,savings,,368869.93,,2021-01-29
94,369,,Westlands,562639.08,,2020-01-28
95,268,Savings,Westlands,176404.16,Dormant,2023-01-27
96,115,savings,MOMBASA,647922.53,Dormant,2021-09-22
97,544,CURRENT, Kisumu,223125.16,,2023-11-12
98,232,,,695207.5,Active,2020-04-09
99,418,Savings, Kisumu,129956.37,Active,2023-04-14
100,528,Savings, Kisumu,829361.78,,2022-04-22
101,176,savings,,472484.06,Active,2021-02-28
102,141,CURRENT,,52842.31,Dormant,2022-01-12
103,49,CURRENT,Nairobi CBD,10246.96,Dormant,2025-03-24
104,471,CURRENT,Nairobi CBD,705963.6,,2019-12-28
105,90,,Westlands,560774.06,ACTIVE,2020-05-12
106,173,CURRENT,MOMBASA,803130.37,Active,2023-09-05
107,262,Savings,Westlands,369879.53,ACTIVE,2022-06-01
108,501,Savings,,350209.73,ACTIVE,2019-06-25
109,336,,Nairobi CBD,29317.19,Dormant,2021-07-28
110,261,CURRENT,Westlands,692397.44,Active,2020-10-18
111,451,Savings,Nairobi CBD,485488.0,Active,2019-10-09
112,265,savings,Westlands,552017.45,ACTIVE,2024-04-20
113,390,savings,,874780.34,ACTIVE,2024-04-09
114,455,Savings,Nairobi CBD,339079.86,Dormant,2025-09-08
115,499,, Kisumu,872424.08,Active,2023-05-07
116,77,savings,,817389.51,,2024-10-23
117,488,savings, Kisumu,390383.17,Active,2020-10-12
118,370,CURRENT,,212395.93,Dormant,2022-02-21
119,45,savings,Westlands,818275.75,,2020-05-02
120,340,, Kisumu,384820.71,ACTIVE,2021-11-26
121,322,Savings,MOMBASA,577057.45,ACTIVE,2026-02-02
122,233,Savings,Westlands,456704.75,Active,2024-08-07
123,150,savings,MOMBASA,381353.31,Active,2022-07-17
124,513,CURRENT,MOMBASA,566805.64,Dormant,2022-06-14
125,35,,Nairobi CBD,871744.62,,2019-07-28
126,102,CURRENT,MOMBASA,792007.3,Dormant,2025-08-12
127,145,Savings,MOMBASA,962772.04,ACTIVE,2022-09-23
128,372,,Westlands,347181.95,,2022-03-06
129,343,Savings,MOMBASA,670111.87,,2022-06-01
130,516,CURRENT,Westlands,808263.86,ACTIVE,2021-07-15
131,155,savings,Westlands,2268.66,,2023-04-01
132,415,Fixed Deposit, Kisumu,566570.54,ACTIVE,2020-07-27
133,173,,Nairobi CBD,139533.98,ACTIVE,2021-05-10
134,259,,,657153.92,ACTIVE,2025-08-20
135,76,savings,,924402.08,Dormant,2019-08-08
136,312,,MOMBASA,987399.55,ACTIVE,2024-09-01
137,439,Savings, Kisumu,315853.56,Dormant,2023-01-12
